round,mean_client_train_accuracy,mean_client_validation_accuracy,pooled_validation_accuracy,validation_balanced_accuracy,validation_weighted_f1
1,0.5466296002268791,0.4555435296903928,0.5023411371237458,0.3319690951166844,0.46510572753130536
2,0.5794117003679276,0.5258764341545344,0.5618729096989966,0.4079073050100553,0.540654186639794
3,0.6189551390707493,0.5605371257393166,0.6096989966555184,0.523773850914425,0.6080509076378382
4,0.6563158631324768,0.5999288147282544,0.6525083612040133,0.622447569093487,0.6535415601846827
5,0.6847960241138935,0.6301945252859027,0.6789297658862876,0.6670341808583011,0.6795275478479225
6,0.710565060377121,0.6409529272601228,0.697324414715719,0.689610092212706,0.6973118180544594
7,0.7404329925775528,0.6583866084260453,0.7160535117056857,0.7110177170063032,0.7158322125913328
8,0.7484153248369694,0.6876143961036107,0.7384615384615385,0.7377629524539127,0.7387369662047508
9,0.7693329937756062,0.7218782626077339,0.7625418060200669,0.7627360741538944,0.762322461655021
10,0.7824979089200497,0.7464431796890378,0.7782608695652173,0.7775426699927805,0.7774675429920187
11,0.7993463911116123,0.7581512597545716,0.7876254180602007,0.7824287282362826,0.7862128348654114
12,0.8090476207435131,0.7761674887593559,0.8040133779264214,0.8030307485147488,0.8029124381360796
13,0.8115028813481331,0.7801126940038874,0.8090301003344481,0.8081590386812835,0.8076291038181281
14,0.821124792098999,0.7949362169769485,0.817056856187291,0.8167768293293886,0.8154470825843656
15,0.8257858045399189,0.81476973111689,0.8304347826086956,0.8274427754706417,0.8293712833753221
16,0.8315905630588531,0.813838606593305,0.831438127090301,0.8289137538374662,0.8298705568246939
17,0.8329201750457287,0.8217483193167724,0.8381270903010033,0.8388046774491549,0.837229603368875
18,0.844017006456852,0.8317122396811246,0.8464882943143812,0.8484618820323134,0.8457578190309085
19,0.8397624157369137,0.8351356797208735,0.8468227424749164,0.850247280802326,0.8455622202980473
20,0.8535057716071606,0.8421887607618797,0.8521739130434782,0.8495852573862184,0.8507449814212987
21,0.856703594326973,0.8458103845327454,0.8565217391304348,0.8564427196862396,0.8551403739762591
22,0.8593242354691029,0.8460530719672777,0.8612040133779264,0.8608285368414785,0.8602768038467067
23,0.8632473088800907,0.8457858281335334,0.8588628762541806,0.8592785749132879,0.8579482896040174
24,0.864606823772192,0.8482570866673926,0.8615384615384616,0.8628072232586532,0.8603548673643965
25,0.8741955943405628,0.8542819773540106,0.8665551839464883,0.8681296980775357,0.8655057357389953
