round,mean_client_train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_weighted_f1
1,0.5247307270765305,0.5040133779264214,0.347321326033222,0.44593082973542864
2,0.5561685655266047,0.571571906354515,0.4994494786872663,0.5526906708419702
3,0.5941419564187527,0.620066889632107,0.5687722188850263,0.6072682020423782
4,0.6342747956514359,0.6541806020066889,0.6208336957279504,0.6469417260750169
5,0.6622468531131744,0.6806020066889632,0.6593219820757578,0.6734383132221328
6,0.6900273729115725,0.7090301003344481,0.6879087577389076,0.7025678394537904
7,0.7157170213758945,0.731438127090301,0.718113578363003,0.7252259058555215
8,0.7371302284300327,0.7468227424749164,0.7335872374782493,0.7421002156861195
9,0.7554633058607578,0.7555183946488294,0.7409754518554151,0.7490417746009488
10,0.7598546743392944,0.7615384615384615,0.7571016715033548,0.7563301823129515
11,0.7833813987672329,0.7729096989966555,0.7648584144002429,0.7673330128564873
12,0.7843767590820789,0.7926421404682275,0.7906588464073865,0.78822418072202
13,0.8039389215409756,0.8006688963210702,0.7985565628452742,0.7962815859072457
14,0.8101333938539028,0.8130434782608695,0.816503537135263,0.8099706258482363
15,0.8124807700514793,0.8137123745819398,0.8139202169174744,0.8097778149005537
16,0.8317231833934784,0.8120401337792642,0.8109031181561368,0.8075960061728149
17,0.8382276184856892,0.8173913043478261,0.8204827130868944,0.8140154685133253
18,0.8309336081147194,0.8190635451505017,0.8239907708358656,0.8160336281589541
19,0.8421839475631714,0.8247491638795986,0.8316470993721805,0.8219815124430255
20,0.8426628038287163,0.8321070234113712,0.8376106842346212,0.829557731069361
