round,mean_client_train_accuracy,mean_client_validation_accuracy,pooled_validation_accuracy,pooled_validation_balanced_accuracy,pooled_validation_weighted_f1
1,0.5431223697960377,0.6204763031856116,0.6418060200668896,0.5833682706113241,0.6313995548080251
2,0.5794758833944798,0.6313097213145801,0.6675585284280936,0.628622060990709,0.6603648381877876
3,0.612775981426239,0.6625470218714442,0.7020066889632107,0.681140589346933,0.6961476237519014
4,0.643976578488946,0.6953334841002121,0.7317725752508362,0.7182865943712795,0.7265561840271445
5,0.6767235733568668,0.7200351155166012,0.7558528428093646,0.7395224243196888,0.7527819067299888
6,0.7000028118491173,0.7359434116748261,0.7719063545150502,0.7603082887566097,0.7699815556509366
7,0.7254178747534752,0.7517450503377134,0.7903010033444816,0.7913210700009853,0.7884869702202104
8,0.7436980754137039,0.7747950855997944,0.8076923076923077,0.8033999028654802,0.8063032037563201
9,0.7576968669891357,0.7927234380039478,0.8214046822742475,0.8204088455828603,0.8203691771659485
10,0.7794060260057449,0.8102333247792906,0.8290969899665552,0.828058660964647,0.8284678469285925
11,0.7811070643365383,0.8148719307835826,0.8331103678929765,0.8316688172984641,0.8319820134610317
12,0.79239322245121,0.8278774618346968,0.8414715719063545,0.8418083439943423,0.8406682902354817
13,0.8055866211652756,0.8343359276056146,0.84314381270903,0.8401478149283285,0.8424375058703261
14,0.8207584321498871,0.8322404218455872,0.8525083612040134,0.8450347701770163,0.8516218520088656
15,0.8252363614737988,0.8434568272776652,0.8605351170568561,0.8587759777198755,0.8601658166282724
16,0.8280269578099251,0.8552498104991253,0.8645484949832776,0.8610655017198894,0.8639248739409698
17,0.835191436111927,0.856409871869958,0.8642140468227425,0.860967154277329,0.8632657691422999
18,0.8361420258879662,0.8554047359993515,0.8622073578595317,0.8617441270049486,0.8609026310534291
19,0.8430663608014584,0.8545200198810698,0.8632107023411372,0.8642781874311652,0.8624137174292826
20,0.841175589710474,0.8569947147209019,0.8655518394648829,0.8615083036507396,0.8644915558940014
